host,port,service,status
192.168.1.1,20,FTP Data,CLOSED
192.168.1.1,21,FTP Control,CLOSED
192.168.1.1,22,SSH,CLOSED
192.168.1.1,23,Telnet,CLOSED
192.168.1.1,25,SMTP,CLOSED
192.168.1.1,53,DNS,CLOSED
192.168.1.1,80,HTTP,OPEN
192.168.1.1,110,POP3,CLOSED
192.168.1.1,143,IMAP,CLOSED
192.168.1.1,443,HTTPS,OPEN
192.168.1.1,3389,RDP,CLOSED
